Название избирательной комиссии	Название вышестоящей комиссии	ФИО	Статус	Кем предложен
Санкт-Петербургская избирательная комиссия	-	Чечина Наталья Валентиновна	Председатель	Центральная избирательная комиссия Российской Федерации
Санкт-Петербургская избирательная комиссия	-	Егорова Алла Викторовна	Зам.председателя	представительный орган муниципального образования
Санкт-Петербургская избирательная комиссия	-	Жданова Марина Александровна	Секретарь	Центральная избирательная комиссия Российской Федерации
Санкт-Петербургская избирательная комиссия	-	Астафьева Екатерина Викторовна	Член	представительный орган муниципального образования
Санкт-Петербургская избирательная комиссия	-	Ахадова Наргис Агамоглановна	Член	Всероссийская политическая партия "ЕДИНАЯ РОССИЯ"
Санкт-Петербургская избирательная комиссия	-	Беляков Андрей Викторович	Член	Политическая партия "КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"
Санкт-Петербургская избирательная комиссия	-	Березин Алексей Викторович	Член	Региональное отделение в Санкт-Петербурге Всероссийской политической партии "ПАРТИЯ РОСТА"
Санкт-Петербургская избирательная комиссия	-	Боричева Людмила Михайловна	Член	представительный орган муниципального образования
Санкт-Петербургская избирательная комиссия	-	Зацепа Олег Олегович	Член	Региональное отделение в Санкт-Петербурге Политической партии "Российская экологическая партия "Зелёные"
Санкт-Петербургская избирательная комиссия	-	Краснянский Дмитрий Валерьевич	Член	представительный орган муниципального образования
Санкт-Петербургская избирательная комиссия	-	Кузьмин Юрий Александрович	Член	представительный орган муниципального образования
Санкт-Петербургская избирательная комиссия	-	Николаев Валерий Александрович	Член	Политическая партия ЛДПР – Либерально-демократическая партия России
Санкт-Петербургская избирательная комиссия	-	Покровская Ольга Леонидовна	Член	Политическая партия "Российская объединенная демократическая партия "ЯБЛОКО"
Санкт-Петербургская избирательная комиссия	-	Фесик Екатерина Викторовна	Член	Социалистическая политическая партия "СПРАВЕДЛИВАЯ РОССИЯ – ПАТРИОТЫ – ЗА ПРАВДУ"
ТИК №  1	Санкт-Петербургская избирательная комиссия	Нечаева Ольга Дмитриевна	Председатель	Санкт-Петербургское региональное отделение Всероссийской политической партии "ЕДИНАЯ РОССИЯ"
ТИК №  1	Санкт-Петербургская избирательная комиссия	Бергер Евгения Петровна	Зам.председателя	собрание избирателей по месту жительства
ТИК №  1	Санкт-Петербургская избирательная комиссия	Ягубова Лейла Ильгаровна	Секретарь	представительный орган муниципального образования
ТИК №  1	Санкт-Петербургская избирательная комиссия	Антонов Михаил Евгеньевич	Член	Санкт-Петербургское региональное отделение Политической партии ЛДПР - Либерально-демократической партии России
ТИК №  1	Санкт-Петербургская избирательная комиссия	Болдин Виктор Андреевич	Член	Санкт-Петербургское региональное отделение политической партии "Российская объединенная демократическая партия "ЯБЛОКО"
ТИК №  1	Санкт-Петербургская избирательная комиссия	Зайцев Антон Сергеевич	Член	Региональное отделение Социалистической политической партии "СПРАВЕДЛИВАЯ РОССИЯ - ПАТРИОТЫ - ЗА ПРАВДУ" в городе Санкт-Петербурге
ТИК №  1	Санкт-Петербургская избирательная комиссия	Иванов Михаил Николаевич	Член	Региональное отделение в Санкт-Петербурге Политической партии "Российская экологическая партия "Зелёные"
ТИК №  1	Санкт-Петербургская избирательная комиссия	Игнатенко Ирина Юрьевна	Член	собрание избирателей по месту работы
ТИК №  1	Санкт-Петербургская избирательная комиссия	Культиасова Галина Михайловна	Член	Региональное отделение в Санкт-Петербурге Всероссийской политической партии "ПАРТИЯ РОСТА"
ТИК №  1	Санкт-Петербургская избирательная комиссия	Новикова Светлана Геннадьевна	Член	Межрегиональная общественная организация "Ассоциация ветеранов, инвалидов и пенсионеров"
